AC,Meth level,Gamma mew,Gamma sigma,Num sites,Type
181,0,1.62e-09,5.38e-12,0.0,Data
181,0,1.62e-09,5.38e-12,0.129946566801276,Theory
182,0,1.62e-09,5.38e-12,1.0,Data
182,0,1.62e-09,5.38e-12,0.1255317073494599,Theory
183,0,1.62e-09,5.38e-12,0.0,Data
183,0,1.62e-09,5.38e-12,0.12154472063267446,Theory
184,0,1.62e-09,5.38e-12,1.0,Data
184,0,1.62e-09,5.38e-12,0.11556026707376406,Theory
185,0,1.62e-09,5.38e-12,0.0,Data
185,0,1.62e-09,5.38e-12,0.12073514503606117,Theory
186,0,1.62e-09,5.38e-12,1.0,Data
186,0,1.62e-09,5.38e-12,0.09780469482956793,Theory
187,0,1.62e-09,5.38e-12,0.0,Data
187,0,1.62e-09,5.38e-12,0.14796597900928682,Theory
188,0,1.62e-09,5.38e-12,1.0,Data
188,0,1.62e-09,5.38e-12,0.11806579791845444,Theory
189,0,1.62e-09,5.38e-12,0.0,Data
189,0,1.62e-09,5.38e-12,0.1206813531199376,Theory
190,0,1.62e-09,5.38e-12,0.0,Data
190,0,1.62e-09,5.38e-12,0.13121129734664458,Theory
191,0,1.62e-09,5.38e-12,0.0,Data
191,0,1.62e-09,5.38e-12,0.10262297238958608,Theory
192,0,1.62e-09,5.38e-12,0.0,Data
192,0,1.62e-09,5.38e-12,0.12028968170904776,Theory
193,0,1.62e-09,5.38e-12,0.0,Data
193,0,1.62e-09,5.38e-12,0.09303220444496461,Theory
194,0,1.62e-09,5.38e-12,0.0,Data
194,0,1.62e-09,5.38e-12,0.12386532646563093,Theory
195,0,1.62e-09,5.38e-12,0.0,Data
195,0,1.62e-09,5.38e-12,0.07799836404448722,Theory
196,0,1.62e-09,5.38e-12,0.0,Data
196,0,1.62e-09,5.38e-12,0.10742397525391237,Theory
197,0,1.62e-09,5.38e-12,0.0,Data
197,0,1.62e-09,5.38e-12,0.10451809545688308,Theory
198,0,1.62e-09,5.38e-12,0.0,Data
198,0,1.62e-09,5.38e-12,0.1119167575377675,Theory
199,0,1.62e-09,5.38e-12,0.0,Data
199,0,1.62e-09,5.38e-12,0.07414614326959973,Theory
200,0,1.62e-09,5.38e-12,0.0,Data
200,0,1.62e-09,5.38e-12,0.10406329138412294,Theory
0,0,3.37e-09,2.41e-09,296256.0,Data
0,0,3.37e-09,2.41e-09,296223.60649324127,Theory
1,0,3.37e-09,2.41e-09,20245.0,Data
1,0,3.37e-09,2.41e-09,20595.709661494817,Theory
2,0,3.37e-09,2.41e-09,5729.0,Data
2,0,3.37e-09,2.41e-09,5654.337665567919,Theory
3,0,3.37e-09,2.41e-09,2793.0,Data
3,0,3.37e-09,2.41e-09,2752.872970068521,Theory
4,0,3.37e-09,2.41e-09,1678.0,Data
4,0,3.37e-09,2.41e-09,1671.3728069034646,Theory
5,0,3.37e-09,2.41e-09,1167.0,Data
5,0,3.37e-09,2.41e-09,1152.1114524097056,Theory
6,0,3.37e-09,2.41e-09,841.0,Data
6,0,3.37e-09,2.41e-09,841.914363106134,Theory
7,0,3.37e-09,2.41e-09,699.0,Data
